iter	Passed	Remaining
0	56	56753
1	57	28669
2	57	19218
3	58	14494
4	58	11690
5	59	9807
6	59	8464
7	59	7438
8	60	6649
9	60	6014
10	61	5489
11	61	5073
12	61	4704
13	62	4389
14	62	4121
15	63	3892
16	63	3681
17	64	3494
18	64	3327
19	64	3184
20	65	3046
21	65	2922
22	66	2838
23	67	2735
24	67	2637
25	68	2547
26	68	2464
27	68	2384
28	69	2312
29	69	2249
30	70	2191
31	70	2139
32	71	2084
33	71	2033
34	71	1981
35	72	1938
36	72	1896
37	73	1855
38	73	1820
39	74	1786
40	74	1753
41	75	1718
42	75	1685
43	76	1657
44	76	1625
45	76	1595
46	77	1570
47	77	1545
48	78	1518
49	78	1493
50	79	1471
51	79	1447
52	79	1425
53	80	1404
54	80	1382
55	80	1363
56	81	1345
57	81	1327
58	82	1308
59	82	1293
60	82	1276
61	83	1260
62	83	1247
63	84	1231
64	84	1216
65	84	1201
66	85	1189
67	85	1173
68	85	1159
69	86	1148
70	86	1136
71	87	1123
72	87	1112
73	87	1100
74	88	1089
75	88	1079
76	89	1068
77	89	1060
78	90	1050
79	90	1040
80	90	1031
81	91	1021
82	91	1012
83	92	1004
84	92	994
85	92	986
86	93	977
87	93	968
88	93	960
89	94	952
90	94	945
91	95	937
92	95	932
93	96	925
94	96	919
95	96	912
96	97	904
97	97	898
98	98	892
99	99	892
100	99	886
101	100	884
102	100	877
103	101	871
104	101	865
105	101	858
106	102	853
107	102	847
108	102	841
109	103	837
110	103	831
111	104	827
112	104	822
113	105	816
114	105	811
115	105	805
116	106	801
117	106	796
118	106	791
119	107	788
120	107	782
121	108	777
122	108	771
123	108	767
124	109	763
125	109	759
126	109	754
127	109	749
128	110	744
129	110	740
130	111	736
131	111	732
132	111	729
133	112	725
134	112	721
135	112	717
136	113	713
137	113	709
138	114	707
139	114	704
140	115	702
141	115	698
142	116	695
143	116	692
144	116	689
145	117	685
146	117	683
147	118	680
148	118	677
149	118	674
150	119	671
151	119	668
152	120	665
153	120	662
154	120	659
155	121	656
156	121	653
157	122	650
158	122	647
159	122	644
160	123	641
161	123	639
162	123	636
163	124	634
164	124	631
165	125	629
166	125	627
167	126	624
168	126	622
169	126	619
170	127	617
171	127	615
172	128	612
173	128	610
174	128	607
175	129	605
176	129	603
177	130	601
178	130	598
179	130	596
180	131	592
181	131	591
182	131	588
183	132	586
184	132	585
185	133	582
186	133	580
187	133	578
188	134	576
189	134	574
190	135	573
191	135	570
192	135	568
193	136	566
194	136	564
195	137	563
196	137	562
197	138	560
198	138	558
199	139	556
200	139	554
201	139	552
202	140	550
203	140	549
204	141	547
205	141	546
206	142	544
207	142	542
208	143	543
209	144	541
210	144	539
211	144	538
212	145	537
213	145	535
214	146	534
215	146	532
216	147	530
217	147	529
218	147	527
219	148	525
220	148	524
221	149	522
222	149	521
223	150	520
224	150	518
225	150	516
226	151	515
227	151	513
228	151	511
229	152	510
230	152	508
231	153	507
232	153	505
233	153	504
234	154	503
235	155	501
236	155	500
237	155	498
238	156	497
239	156	495
240	157	494
241	157	493
242	157	491
243	158	490
244	158	488
245	159	487
246	159	486
247	160	485
248	160	484
249	161	483
250	161	481
251	161	480
252	162	479
253	162	478
254	163	476
255	163	476
256	164	475
257	164	473
258	165	472
259	165	471
260	166	470
261	166	468
262	166	467
263	167	466
264	167	465
265	168	463
266	168	462
267	168	461
268	169	459
269	169	458
270	170	457
271	170	456
272	170	455
273	171	453
274	171	452
275	172	451
276	172	450
277	172	449
278	173	448
279	173	446
280	174	445
281	174	444
282	174	443
283	175	442
284	175	441
285	176	440
286	176	439
287	177	438
288	177	437
289	178	436
290	178	434
291	178	433
292	179	432
293	179	430
294	179	429
295	180	428
296	180	427
297	180	426
298	181	425
299	181	423
300	182	423
301	182	422
302	183	421
303	183	420
304	184	419
305	184	418
306	184	417
307	185	416
308	185	415
309	186	414
310	186	413
311	186	412
312	187	410
313	187	409
314	187	408
315	188	407
316	188	406
317	188	405
318	189	404
319	189	403
320	190	401
321	190	400
322	190	399
323	191	398
324	191	397
325	191	396
326	192	395
327	192	394
328	192	393
329	193	392
330	193	391
331	194	390
332	194	389
333	194	388
334	195	387
335	195	386
336	196	385
337	196	384
338	196	383
339	197	382
340	197	381
341	197	380
342	198	379
343	198	378
344	198	377
345	199	377
346	199	376
347	200	376
348	201	375
349	201	374
350	201	373
351	202	372
352	202	371
353	202	370
354	203	369
355	203	368
356	203	367
357	204	366
358	204	365
359	205	364
360	205	363
361	205	362
362	206	361
363	206	360
364	206	359
365	207	358
366	207	358
367	208	357
368	208	356
369	208	355
370	209	354
371	209	353
372	209	352
373	210	351
374	210	350
375	210	349
376	211	348
377	211	348
378	211	347
